"SampleID","Antigen","MFI"
623,"LF016",55
623,"MSP8",74
624,"EBP",32
624,"PTEX150",150.5
624,"PvCSS",41
624,"LF005",63.5
624,"LF010",29.5
624,"RBP2b.P87",54
624,"LF016",34
624,"MSP8",63
625,"EBP",45
625,"PTEX150",123
625,"PvCSS",50
625,"LF005",111
625,"LF010",32
625,"RBP2b.P87",43
625,"LF016",36
625,"MSP8",241
628,"EBP",34
628,"PTEX150",38
628,"PvCSS",64
628,"LF005",62
628,"LF010",32
628,"RBP2b.P87",33
628,"LF016",42
628,"MSP8",57
631,"EBP",31
631,"PTEX150",27
631,"PvCSS",36
631,"LF005",44
631,"LF010",30
631,"RBP2b.P87",35.5
631,"LF016",39
631,"MSP8",43
636,"EBP",37
636,"PTEX150",59
636,"PvCSS",99.5
636,"LF005",46
636,"LF010",44
636,"RBP2b.P87",76
636,"LF016",38
636,"MSP8",532
638,"EBP",39
638,"PTEX150",62
638,"PvCSS",140
638,"LF005",218
638,"LF010",36
638,"RBP2b.P87",38
638,"LF016",47.5
638,"MSP8",48
